,Contact Persons,Source,business_status,formatted_address,name,opening_hours,lat,lng
51,Aaron Esdon,https://smoothcomp.com/en/club/31804,OPERATIONAL,"561 Southdale Rd E #13, London, ON N6E 3M7, Canada",Platinum Training Facility,{'open_now': False},42.9420565,-81.23546379999999
52,,https://smoothcomp.com/en/club/22043,OPERATIONAL,"6920 Wellington Rd 124, Guelph, ON N1H 6J4, Canada",Shidokan Canada Karate,{'open_now': False},43.4793486,-80.2977203
53,MICHAEL KITSON,https://smoothcomp.com/en/club/6259,,,,,,
54,Marc Perrier,https://smoothcomp.com/en/club/6856,OPERATIONAL,"1045 Trillium Dr Unit#3, Kitchener, ON N2R 0A2, Canada",Leading Edge Control Solutions Inc.,{'open_now': False},43.4026641,-80.4863664
55,,https://smoothcomp.com/en/club/7747,,,,,,
56,EMMA MACLEAN,https://smoothcomp.com/en/club/6245,OPERATIONAL,"Av. das Américas, 14205 - sobreloja - Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-701, Brazil",Nova União Recreio,{'open_now': False},-23.0104931,-43.4497186
57,Gary Vig,https://smoothcomp.com/en/club/7727,OPERATIONAL,"4940 54 Ave, Red Deer, AB T4N 6J3, Canada","Arashi Do Martial Arts, Red Deer",{'open_now': False},52.2714043,-113.8198982
58,Kevin Yang,https://smoothcomp.com/en/club/7769,OPERATIONAL,"11939 88 Ave, Delta, BC V4C 3C9, Canada",World Martial Arts: Gracie Barra Brazilian Jiu Jitsu (BJJ) & Taekwondo,{'open_now': False},49.1636184,-122.8919367
59,BROCK WHITEHEAD,https://smoothcomp.com/en/club/6023,OPERATIONAL,"2921A Blvd. de la Concorde E, Laval, QC H7E 2B5, Canada",Brazilian Top Team Canada Laval,,45.5918928,-73.6701585
60,Michael Simmins,https://smoothcomp.com/en/club/7745,OPERATIONAL,"1033 North Service Rd E, Oakville, ON L6H 1A6, Canada",Champions Martial Arts - Taekwondo,{'open_now': False},43.4692799,-79.6770755
61,Marco Costa,https://smoothcomp.com/en/club/38728,OPERATIONAL,"400 Morobel Dr #1, Milton, ON L9T 4N6, Canada",Submissions Brazilian Jiu Jitsu Academy,{'open_now': False},43.51917450000001,-79.8980912
62,,https://smoothcomp.com/en/club/22033,OPERATIONAL,"200 Connie Crescent #10, Concord, ON L4K 1M1, Canada",Challenge Sports Club,{'open_now': False},43.8205657,-79.486217
63,Madeline Laporte,https://smoothcomp.com/en/club/14642,OPERATIONAL,"112 Commerce Park Dr, Barrie, ON L4N 8W8, Canada",Submission Arts Academy,{'open_now': False},44.3242866,-79.68904479999999
64,Kane Pereira,https://smoothcomp.com/en/club/15342,OPERATIONAL,"416 Moore Ave suite 102/103/105, Toronto, ON M4G 1C9, Canada",Greenwood Jiu Jitsu Leaside Toronto,{'open_now': False},43.697159,-79.371054
65,Matt Blank,https://smoothcomp.com/en/club/20991,OPERATIONAL,"101 South La Cañada Drive #45, Green Valley, AZ 85614, United States",Undisputed | Green Valley Gym | Jiu Jitsu - Boxing - Kickboxing - Fitness,{'open_now': False},31.8683299,-110.9931077
66,Jordan McKay,https://smoothcomp.com/en/club/7733,,,,,,
67,Cody Ries,https://smoothcomp.com/en/club/7784,OPERATIONAL,"12034 Fort Rd NW, Edmonton, AB T5B 4H1, Canada",Kamikaze Punishment Foundation,{'open_now': False},53.5744362,-113.4605586
68,Jim Tran,https://smoothcomp.com/en/club/38105,OPERATIONAL,"343 Rodick Rd unit 2, Markham, ON L6G 1B1, Canada",Trillium MMA - Markham,{'open_now': False},43.8347086,-79.3457585
69,,https://smoothcomp.com/en/club/22022,OPERATIONAL,"87 Rue Émilien Marcoux #108, Blainville, Quebec J7C 0B4, Canada",Judo Blainville,{'open_now': False},45.6731219,-73.90319509999999
70,Nikolai Smith,https://smoothcomp.com/en/club/15952,OPERATIONAL,"2100 Ontario St E, Montreal, Quebec H2K 1V5, Canada",Brigada Jiu-Jitsu Brésilien Bjj,{'open_now': False},45.528154,-73.5570974
71,Jesse Veltri,https://smoothcomp.com/en/club/6826,OPERATIONAL,"BJJ Gym, 486 Evans Ave. Unit 11, Etobicoke, ON M8W 2T7, Canada",10th Planet Jiu-Jitsu Etobicoke | BJJ | No-Gi Brazilian Jiu Jitsu,{'open_now': False},43.6139717,-79.53759989999999
72,,https://smoothcomp.com/en/club/49010,OPERATIONAL,"19 McEwan Dr W Unit 7-8, Bolton, ON L7E 1G2, Canada",Canadian Black Belt Academy,{'open_now': False},43.859108,-79.7171573
73,Alex Macdonald,https://smoothcomp.com/en/club/11360,OPERATIONAL,"32 Dexter Ct, Mount William, NS B2H 5C6, Canada",Pictou County Jiu Jitsu,{'open_now': False},45.576959,-62.68818630000001
74,,https://smoothcomp.com/en/club/3385,OPERATIONAL,"465 George St, Sydney, NS B1P 1K5, Canada",ZombieProof Brazilian Jiu-Jitsu & Mixed Martial Arts,{'open_now': False},46.1373242,-60.1917227
75,Jason Thibert,https://smoothcomp.com/en/club/6902,,,,,,
76,,https://smoothcomp.com/en/club/7751,OPERATIONAL,"40 Chisholm Ave #60, St. Albert, AB T8N 7K6, Canada",Complete Fitness and Martial Arts,{'open_now': False},53.6368932,-113.570703
77,,https://smoothcomp.com/en/club/22070,OPERATIONAL,"1760 Av. Gilles-Villeneuve, Trois-Rivières, QC G9A 5H3, Canada",Club De Judo Seikidokan Inc,{'open_now': False},46.3479652,-72.55973809999999
78,Diaz Sports,https://smoothcomp.com/en/club/17093,OPERATIONAL,"276 E Pender St, Vancouver, BC V6A 1T7, Canada",DCS - Diaz Combat Sports,{'open_now': False},49.2800881,-123.0979441
79,,https://smoothcomp.com/en/club/4236,OPERATIONAL,"174 Horseshoe Lake Dr, Halifax, NS B3S 1H2, Canada",Titan's Fitness Academy,{'open_now': False},44.64109209999999,-63.6731386
80,Damyen Reid,https://smoothcomp.com/en/club/7511,OPERATIONAL,"930 E Division St, Coal City, IL 60416, United States",Scheer's Insurance Services LLC,{'open_now': False},41.2881857,-88.2704787
81,,https://smoothcomp.com/en/club/7846,OPERATIONAL,"851 Johnson St, Victoria, BC V8W 1R9, Canada",West Coast Brazilian Jiu Jitsu Victoria,{'open_now': False},48.426339,-123.3596538
82,,https://smoothcomp.com/en/club/10130,OPERATIONAL,"15724 Pierrefonds Blvd., Pierrefonds, Quebec H9H 3P6, Canada",West-Island Jiu-Jitsu Ouest De L'île,{'open_now': False},45.4793393,-73.8656434
83,Santiago Estevez,https://smoothcomp.com/en/club/39771,OPERATIONAL,"10 Rue Belmont, Gatineau, QC J9H 6J5, Canada",EBO - Martial Arts School Outaouais,{'open_now': False},45.39423,-75.830209
84,Dave Isaacs,https://smoothcomp.com/en/club/31265,OPERATIONAL,"7500 ON-27 #25, Woodbridge, ON L4H 0J2, Canada","Gracie Woodbridge, Brazilian Jiu-Jitsu, Muay Thai & Self Defense Academy",{'open_now': False},43.7705868,-79.6219198
85,Jeffrey Baugh,https://smoothcomp.com/en/club/19055,OPERATIONAL,"2107 Corydon Pike building a, New Albany, IN 47150, United States",Southern Indiana Martial Arts,{'open_now': False},38.2780588,-85.8512149
86,Kevin Deamond,https://smoothcomp.com/en/club/7725,,,,,,
87,Gage Garand,https://smoothcomp.com/en/club/8103,OPERATIONAL,"10016 110 Ave #111, Grande Prairie, AB T8V 8L4, Canada",The Komodo Academy (North Location),{'open_now': False},55.1798357,-118.7964631
88,,https://smoothcomp.com/en/club/7818,OPERATIONAL,"1735 Dolphin Ave #140, Kelowna, BC V1Y 8A6, Canada",RDC Jiu Jitsu Academy,{'open_now': False},49.878687,-119.4596241
89,SIMON POIRIER,https://smoothcomp.com/en/club/6249,OPERATIONAL,"903 E Rte 66 a, Glendora, CA 91740, United States",Sampa Jiu Jitsu and Martial Arts,{'open_now': False},34.1292163,-117.8500305
90,,https://smoothcomp.com/en/club/9936,OPERATIONAL,"6045 Bd Monk, Montréal, QC H4E 3H5, Canada",H2O MMA,{'open_now': False},45.457805,-73.59592169999999
91,Dave Shaw,https://smoothcomp.com/en/club/13186,OPERATIONAL,"1267 Garrison Rd, Fort Erie, ON L2A 1P2, Canada",Academix Academy Fort Erie,,42.9043396,-78.96281599999999
